committee,side,labor,side_orig,labor_orig,changed,change_detail,entity_type,level,jurisdiction,is_conduit,confidence,evidence,source_url,proposed_by,reviewed,n_gifts,dollars,sources
FRIENDS OF JUDY PASCALE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Judith Pascale was the Suffolk County Clerk and ran as the Republican incumbent in GOP primaries for that office.,https://messengerpapers.com/2022/05/puleo-and-pascale-the-republican-primary-escalates/,web-research-2026-08-08,yes,818,121666,nyboe
FRIENDS OF TIM MAZZEI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,"Town of Brookhaven and Suffolk County, NY",FALSE,medium,Timothy Mazzei held office as the Republican Brookhaven Town Councilman for the 5th District (R-Blue Point) before resigning in 2014 to run for judge and later winning a cross-endorsed judgeship on the Democratic line.,https://patch.com/new-york/patchogue/mazzei-to-continue-as-5th-district-brookhaven-councilman,web-research-2026-08-08,yes,624,121075,nyboe
TOM SPOTA FOR DISTRICT ATTORNEY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Thomas Spota served as Suffolk County District Attorney from 2002 to 2017 as a Democrat after switching from the Republican party before his 2001 run,https://en.wikipedia.org/wiki/Thomas_Spota,web-research-2026-08-08,yes,902,120316,nyboe
PRAVATO FOR NEW YORK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Jeff Pravato the Massapequa Park mayor was the Republican nominee for New York State Senate District 8 in 2018,https://www.cityandstateny.com/politics/2018/10/jeff-pravato-is-the-gops-great-red-hope-on-long-island/178003/,web-research-2026-08-08,yes,446,119732,nyboe
EAST HAMPTON TOWN REPUBLICAN COMMITTEE (EHTRC),REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of East Hampton, Suffolk County, NY",FALSE,high,Name states it is the official Republican Party town committee for East Hampton in Suffolk County,,web-research-2026-08-08,yes,594,117461,nyboe
GARDEN CITY REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Garden City, Nassau County, NY",FALSE,high,Name states it is the Republican political club for the Village of Garden City in Nassau County,,web-research-2026-08-08,yes,496,115335,nyboe
FRIENDS TO ELECT BRIAN CURRAN,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Brian F. Curran is the Republican Assemblymember from Lynbrook in New York's 21st Assembly District who traded the seat with Democrat Judy Griffin in 2018 2022 and 2024,https://en.wikipedia.org/wiki/Judy_Griffin,web-research-2026-08-08,yes,875,113032,nyboe
PROGRESSIVE TURNOUT PROJECT,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,Progressive Turnout Project is a Chicago based hybrid PAC whose stated goal is increasing voter turnout for Democratic candidates,https://www.influencewatch.org/political-party/progressive-turnout-project/,web-research-2026-08-08,yes,2918,111348,fec
SCHIMEL FOR ASSEMBLY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Michelle Schimel is a Democrat who represented New York State Assembly District 16 covering North Hempstead in Nassau County from 2007 to 2017.,https://ballotpedia.org/Michelle_Schimel,web-research-2026-08-08,yes,603,111044,nyboe
BOB CASEY FOR SENATE INC,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,United States,FALSE,high,Bob Casey Jr. served as a Democratic U.S. Senator from Pennsylvania from 2007 to 2025.,https://en.wikipedia.org/wiki/Bob_Casey_Jr.,web-research-2026-08-08,yes,1127,110147,fec
FRIENDS OF ANDREW RAIA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,"Town of Huntington, NY",FALSE,high,Andrew Raia is a Republican who represented the 12th Assembly District and was elected Huntington Town Clerk in 2019,https://ballotpedia.org/Andrew_Raia,web-research-2026-08-08,yes,690,107645,nyboe
FLORAL PARK BELLEROSE REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,village,"Villages of Floral Park and Bellerose, Nassau County, NY",FALSE,high,Name states it is the Republican Party committee for the incorporated villages of Floral Park and Bellerose in Nassau County,,web-research-2026-08-08,yes,530,105721,nyboe
LEVITTOWN WEST/FOREST CITY REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,The name states it is a Republican Party district committee and Levittown West and Forest City are neighborhoods inside the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,1517,105333,nyboe
FRIENDS OF STEPHANIE BONTEMPI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Local news consistently identifies her as Legislator Stephanie Bontempi (R-18th L.D.) of the Suffolk County Legislature with a district office in Huntington,https://tbrnewsmedia.com/?s=Bontempi,web-research-2026-08-08,yes,487,104969,nyboe
JEFFRIES FOR CONGRESS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,New York,FALSE,high,Hakeem Jeffries is the Democratic U.S. Representative for New York's 8th congressional district and House Democratic leader.,https://ballotpedia.org/Hakeem_Jeffries,web-research-2026-08-08,yes,788,102923,fec
VENDITTO FOR STATE SENATE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Michael Venditto was the Republican New York State Senator for District 8 from 2015 to 2016 and also ran on the Conservative line,https://en.wikipedia.org/wiki/Michael_Venditto,web-research-2026-08-08,yes,447,101335,nyboe
ISLIP TOWN CONSERVATIVE EXECUTIVE COMMITTEE,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,town,"Town of Islip, Suffolk County, NY",FALSE,high,This is the Conservative Party town committee for the Town of Islip and this project folds the NY Conservative Party into REP,https://en.wikipedia.org/wiki/Conservative_Party_of_New_York_State,web-research-2026-08-08,yes,528,100365,nyboe
DEBBIE FOR FLORIDA,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Florida,FALSE,high,DebbieForFlorida.com is the campaign of Democrat Debbie Mucarsel-Powell who ran for US Senate in Florida against Rick Scott in 2024,https://www.fec.gov/data/candidate/S4FL00611/,web-research-2026-08-08,yes,598,100100,fec
FRIENDS OF RICH LAMARCA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Oyster Bay, Nassau County, NY",FALSE,high,Richard LaMarca was elected Oyster Bay Town Clerk in 2019 running on the Republican and Conservative lines,https://www.longislandpress.com/2025/08/13/oyster-bay-town-clerk-rich-lamarca/,web-research-2026-08-08,yes,494,100084,nyboe
FRIENDS OF KATHLEEN WALSH,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, 3rd Council District, Suffolk County, NY",FALSE,medium,"RiverheadLOCAL's Nov 6 2013 election-results article identifies Kathleen Walsh as 'a four-term Republican councilwoman in the Third Council District who lost her party's nomination to LaValle and ran for re-election as a Democrat' (she lost to Kevin LaValle 58-42). TBR News Media independently refers to 'Councilwoman Kathleen Walsh' in Dec 2013 in its Village Times Herald (Brookhaven) edition, confirming the person and coverage area. IMPORTANT CAVEAT: she was a Republican for four terms and only her final 2013 race was on the Democratic line, so REP is the majority-of-career call but the label is genuinely mixed; if the NYSBOE donation rows for this committee are concentrated in 2013 the correct label could be DEM. Second caveat: no NYSBOE filing record was reachable, so the link from the committee name 'FRIENDS OF KATHLEEN WALSH' to this Kathleen Walsh is circumstantial (Long Island donors, ~$99K town-scale candidate committee, nyboe source) rather than documented.",https://riverheadlocal.com/2013/11/06/election-results-assembly-county-and-other-towns/,web-research-2026-08-08,yes,872,99270,nyboe
FRIENDS OF ROB WALKER,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,"Nassau County, NY",FALSE,high,Rob Walker is a Republican who served in the New York State Assembly for the 15th District and then as Nassau County Chief Deputy County Executive,https://en.wikipedia.org/wiki/Rob_Walker_(New_York_politician),web-research-2026-08-08,yes,524,97425,nyboe
FRIENDS OF RALPH SUOZZI,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"City of Glen Cove, Nassau County, NY",FALSE,high,Ralph Suozzi ran as the Democratic candidate for Glen Cove mayor and took office in 2006,https://patch.com/new-york/glencove/video-glen-cove-mayor-race-ralph-suozzi,web-research-2026-08-08,yes,575,97188,nyboe
DOCTORS COUNCIL SEIU COPE,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,state,New York State,FALSE,high,Doctors Council SEIU is a labor union of attending physicians that bargains contracts and struck NYC Health + Hospitals facilities and SEIU affiliates give overwhelmingly to Democrats,https://www.doctorscouncil.org/the-organization,web-research-2026-08-08,yes,2541,96528,nyboe
STEVE RHOADS FOR SENATE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Steve Rhoads is the Republican New York State Senator for the 5th District covering Bellmore and Merrick in Nassau County,"https://www.liherald.com/merrick/stories/steve-rhoads-new-state-senator-is-ready-to-deliver-to-bellmore-merrick-constituents,158933",web-research-2026-08-08,yes,506,96014,nyboe
SMITHTOWN DEMOCRATIC TOWN COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Smithtown, NY",FALSE,high,The committee's own name identifies it as the Democratic Party town committee for Smithtown in Suffolk County.,,web-research-2026-08-08,yes,787,93809,nyboe
SUFFOLK COUNTY REPUBLICAN WOMEN -SCRW,REP,FALSE,REP,FALSE,no,,party_committee,county,"Suffolk County, NY",FALSE,high,Suffolk County Republican Women is the county GOP women's auxiliary organization listed on the Suffolk County GOP event calendar,https://suffolkgopwomen.com/,web-research-2026-08-08,yes,750,92726,nyboe
VOICE OF TEACHERS FOR EDUC/CMTE ON POL EDUC OF NY STATE UNTD TEACHERS (VOTE/COPE) OF NYSUT,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,federal,United States,FALSE,high,VOTE/COPE is the political action fund of New York State United Teachers a teachers labor union whose endorsements and giving go overwhelmingly to Democrats,https://www.nysut.org/,web-research-2026-08-08,yes,2102,92525,fec
SIELA FOR SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Siela Bynoe is a Democratic Nassau County Legislator who won New York State Senate District 6 in 2024 and helped Democrats retain the Senate majority.,https://politicsny.com/2024/11/08/bynoe-helps-dems-retain-ny-state-senate-majority/,web-research-2026-08-08,yes,642,92269,nyboe
ELISE FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,New York,FALSE,high,Elise for Congress is the campaign committee of Republican Rep. Elise Stefanik of New York's 21st district.,https://www.cbsnews.com/newyork/news/elise-stefanik-running-for-new-york-governor/,web-research-2026-08-08,yes,842,92133,fec
FRIENDS OF BOB CREIGHTON,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Smithtown, NY",FALSE,high,Bob Creighton was a Smithtown Town Councilman who lost the 2013 Republican primary for Smithtown Supervisor to Patrick Vecchio by 74 votes.,https://patch.com/new-york/commack/vecchio-narrowly-wins-gop-nomination_df017f70,web-research-2026-08-08,yes,651,92130,nyboe
FRIENDS OF STEVEN J. FLOTTERON,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,Town of Islip and Suffolk County NY,FALSE,high,Steven Flotteron was elected Islip town councilman in 2005 and has served as the Republican Suffolk County Legislator for the 11th district since November 2017.,https://www.scnylegislature.us/538/About-Steven,web-research-2026-08-08,yes,800,91585,nyboe
FRIENDS OF PATRICIA CANZONERI-FITZPATRICK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Patricia Canzoneri-Fitzpatrick is a Republican who won the Nassau County based 20th NY Assembly district and now serves in the NY State Senate,https://www.nysenate.gov/senators/patricia-canzoneri-fitzpatrick,web-research-2026-08-08,yes,590,91563,nyboe
FRIENDS OF MONICA MARTINEZ,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Monica R. Martinez is a Democratic New York State Senator representing Suffolk County and is listed by the Suffolk County Democratic Committee,https://suffolkcountydems.com/candidate/monica-martinez,web-research-2026-08-08,yes,526,91028,nyboe
ISLIP TOWN DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Islip, NY",FALSE,high,The name itself identifies this as the official Democratic Party committee for the Town of Islip in Suffolk County,,web-research-2026-08-08,yes,965,88544,nyboe
FRIENDS OF KEVIN LAVALLE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, Suffolk County, NY",FALSE,high,Kevin LaValle was the Republican and Conservative Party candidate for Brookhaven Town Clerk after serving as a Republican Brookhaven councilman,https://tbrnewsmedia.com/kevin-lavalle-named-republican-conservative-candidate-for-brookhaven-town-clerk/,web-research-2026-08-08,yes,582,87695,nyboe
BETHPAGE REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Bethpage, Town of Oyster Bay, NY",FALSE,high,The name states it is the Republican Party committee for the Bethpage hamlet which lies in the Town of Oyster Bay in Nassau County.,,web-research-2026-08-08,yes,661,87433,nyboe
FRIENDS OF JOE SAWICKI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Joe Sawicki is a Republican who served as Suffolk County Comptroller and earlier as the North Fork's state assemblyman,https://en.wikipedia.org/wiki/Joe_Sawicki,web-research-2026-08-08,yes,538,85190,nyboe
MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK & LI PAC,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,federal,United States,FALSE,high,The Mason Tenders District Council of Greater New York and Long Island is a LIUNA affiliated construction labor union that calls itself one of the most progressive labor organizations in the nation and backs Democrats,https://www.masontenders.org/,web-research-2026-08-08,yes,2003,82961,fec
FRIENDS OF TOM DINAPOLI,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Thomas DiNapoli of Great Neck is the Democratic New York State Comptroller and won the 2026 Democratic primary,https://ballotpedia.org/Thomas_DiNapoli,web-research-2026-08-08,yes,525,82511,nyboe
TEAM SCALISE,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,United States,FALSE,high,Team Scalise is FEC committee C00750521 a joint fundraising committee for Republican House leader Steve Scalise of Louisiana,https://www.fec.gov/data/committee/C00750521/,web-research-2026-08-08,yes,2444,80929,fec
MASSAPEQUA REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Massapequa, Town of Oyster Bay, NY",FALSE,high,The name states it is the Republican Party committee for Massapequa which lies in the Town of Oyster Bay in Nassau County.,,web-research-2026-08-08,yes,649,79715,nyboe
FRIENDS OF MICHAEL FITZPATRICK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Michael J. Fitzpatrick is the Republican New York State Assembly member for the 8th District covering Smithtown in Suffolk County,https://ballotpedia.org/Michael_Fitzpatrick_(New_York),web-research-2026-08-08,yes,508,79665,nyboe
FRIENDS OF KARA HAHN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Kara Hahn is identified as (D-Setauket) and served as Suffolk County Legislator for the 5th Legislative District from 2012 until August 2023,https://tbrnewsmedia.com/?s=Kara+Hahn,web-research-2026-08-08,yes,461,76201,nyboe
SARAH ANKER FOR NYS SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Sarah Anker is a Democratic former Suffolk County Legislator who challenged Republican Anthony Palumbo for the 1st State Senate District in 2024,https://riverheadlocal.com/2024/02/07/former-suffolk-legislator-sarah-anker-to-challenge-anthony-palumbo-in-first-senate-district/,web-research-2026-08-08,yes,670,75210,nyboe
FRIENDS OF STEVE ENGLEBRIGHT,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,multi,"New York State and Suffolk County, NY",FALSE,high,Steve Englebright is a Democrat who represented Assembly District 4 from 1992 to 2022 and was elected to the Suffolk County Legislature 5th District in 2023,https://en.wikipedia.org/wiki/Steve_Englebright,web-research-2026-08-08,yes,455,74367,nyboe
RIVERHEAD REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Riverhead, NY",FALSE,high,Name states it is the Republican Party town committee for the Town of Riverhead in Suffolk County and src=nyboe confirms a NY local filer,,web-research-2026-08-08,yes,536,73842,nyboe
ELISE FOR GOVERNOR,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Republican Rep. Elise Stefanik announced her 2026 campaign for New York governor in November 2025.,https://www.cbsnews.com/newyork/news/elise-stefanik-running-for-new-york-governor/,web-research-2026-08-08,yes,794,73742,nyboe
FRIENDS FOR DAVE MCDONOUGH,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,David McDonough is a Republican who represented New York State Assembly District 14 in Nassau County and previously District 19.,https://ballotpedia.org/David_McDonough,web-research-2026-08-08,yes,635,70435,nyboe
FRIENDS OF ROB CALARCO,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Rob Calarco was the Democratic Suffolk County Legislator for the 7th District and became Presiding Officer in January 2020.,https://www.wshu.org/news/2020-01-08/calarco-succeeds-gregory-as-presiding-officer-of-suffolk-county-legislature,web-research-2026-08-08,yes,662,70375,nyboe
BALDWIN REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Baldwin, Town of Hempstead, NY",FALSE,high,The name states it is the Republican Party committee for Baldwin which lies in the Town of Hempstead in Nassau County.,,web-research-2026-08-08,yes,605,70158,nyboe
FRIENDS OF GLENDA JACKSON,,FALSE,,FALSE,no,,candidate,county,"Nassau County, NY (locality unverified)",FALSE,low,Repeated searches of Ballotpedia Long Island news outlets and Nassau/Suffolk officeholder rosters found no New York Glenda Jackson so the office and party could not be established,,web-research-2026-08-08,yes,533,69713,nyboe
FRIENDS OF TOM MURATORE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,TBR News Media identifies Tom Muratore as the Republican Suffolk County Legislator from Ronkonkoma who served ten years and died in September 2020,https://tbrnewsmedia.com/?s=Muratore,web-research-2026-08-08,yes,492,69345,nyboe
FRIENDS OF DAVE MCCORMICK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Pennsylvania,FALSE,high,Dave McCormick is the Republican U.S. Senator from Pennsylvania who has served since 2025.,https://en.wikipedia.org/wiki/Dave_McCormick,web-research-2026-08-08,yes,777,67730,fec
ZELDIN ESPOSITO 2022,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Lee Zeldin and Alison Esposito were the 2022 Republican nominees for New York governor and lieutenant governor,https://en.wikipedia.org/wiki/2022_New_York_gubernatorial_election,web-research-2026-08-08,yes,490,67669,nyboe
MOVEON.ORG POLITICAL ACTION,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,MoveOn.org Political Action is MoveOn's federal PAC and has raised millions of dollars for Democratic candidates since 1998,https://en.wikipedia.org/wiki/MoveOn,web-research-2026-08-08,yes,1646,67155,fec
ROCKVILLE CENTRE REPUBLICAN COMMITTEEMEN'S COUNCIL,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Rockville Centre, NY",FALSE,high,The committee name states it is the council of Republican committeemen of Rockville Centre which is an incorporated village in the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,458,66097,nyboe
J.P. MORGAN CHASE & CO. STATE AND FEDERAL POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,corporate_pac,multi,New York State,FALSE,high,This is the connected corporate PAC of JPMorgan Chase covering both state and federal accounts and large bank PACs split giving between both parties,,web-research-2026-08-08,yes,1368,65999,nyboe
FRIENDS OF ELLEN BIRNBAUM,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Ellen Birnbaum is a Nassau County Legislator from Great Neck listed as an elected official of the Nassau County Democratic Committee,https://nassaucountydems.ngpvanhost.com/elected-officials/hon-ellen-birnbaum,web-research-2026-08-08,yes,493,65943,nyboe
NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,corporate_pac,federal,United States,FALSE,high,FEC lists C00158881 as a corporate PAC connected to New York Life Insurance Company which gives to both parties,https://www.fec.gov/data/committee/C00158881/,web-research-2026-08-08,yes,673,65625,fec
FREINDS OF MARSHA SILVERMAN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"City of Glen Cove, Nassau County, NY",FALSE,high,Marsha Silverman is a Glen Cove City Councilwoman listed by the City of Glen Cove Democratic Committee and later ran for mayor as a Democrat,https://www.glencovedems.org/marsha-silverman.html,web-research-2026-08-08,yes,500,65586,nyboe
FRIENDS OF MICHAEL DURSO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Michael Durso is a Republican member of the New York State Assembly representing District 9 in the Massapequa area since 2021,https://ballotpedia.org/Michael_Durso,web-research-2026-08-08,yes,461,65279,nyboe
FRIENDS OF JANE BONNER,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, Suffolk County, NY",FALSE,high,Jane Bonner is listed on the Brookhaven Town Republican Committee team page as the councilwoman for the 2nd Council District,https://www.brookhavenrepublicans.com/team,web-research-2026-08-08,yes,494,63878,nyboe
SEA CLIFF REPUBLICAN CLUB INC.,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Sea Cliff, NY",FALSE,high,The Sea Cliff Republican Club is listed as an official local club of the Nassau County Republican Committee in the Town of Oyster Bay,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,737,61555,nyboe
LYNBROOK REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Lynbrook, NY",FALSE,high,The committee name states it is the Republican club of Lynbrook which is an incorporated village in the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,456,61453,nyboe
DEMOCRATIC ACTION,DEM,FALSE,DEM,FALSE,no,,ideological_pac,federal,United States,FALSE,medium,FEC committee C00562983 DEMOCRATIC ACTION is a non-connected nonqualified PAC with no corporate or union sponsor that raises small-dollar money for Democrats,https://www.fec.gov/data/committee/C00562983/,web-research-2026-08-08,yes,1585,60728,fec+nyboe
CRAIG FOR NEW YORK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,medium,CraigForNewYork.com is the campaign site of Democrat Craig Herskowitz of Northport who ran for NY Senate District 2 and NY State Assembly,https://northportjournal.com/people/raised-in-northport-democratic-candidate-craig-herskowitz-to-make-a-run-for-congress,web-research-2026-08-08,yes,565,60281,nyboe
LEVITTOWN NORTH ISLAND TREES REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Levittown, Town of Hempstead, Nassau County, NY",FALSE,medium,Nassau County GOP lists a North Levittown Republican Club among its Town of Hempstead clubs and Island Trees is the north Levittown school district area,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,564,59527,nyboe
DEMOCRAT REPUBLICAN INDEPENDENT VOTER EDUCATION,DEM,TRUE,,FALSE,yes,side:blank->DEM;labor:False->True,union_pac,multi,United States,FALSE,medium,DRIVE is the acronym for Democrat Republican Independent Voter Education which is the political action fund of the International Brotherhood of Teamsters and its giving has historically favored Democrats,https://en.wikipedia.org/wiki/International_Brotherhood_of_Teamsters,web-research-2026-08-08,yes,2429,59408,nyboe
FRANKLIN SQ. EAST THEODORE ROOSEVELT REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,The committee name states it is a Republican committee in eastern Franklin Square which is a hamlet in the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,447,59157,nyboe
FRIENDS OF VINCENT PULEO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Vincent Puleo won the Republican and Conservative nominations for Suffolk County Clerk in 2022 beating incumbent Judy Pascale in the GOP primary after 17 years as Smithtown Town Clerk,https://tbrnewsmedia.com/?s=Vincent+Puleo,web-research-2026-08-08,yes,491,59125,nyboe
SYOSSET-WOODBURY REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,high,The name identifies it as a local Republican club and Syosset and Woodbury are hamlets within the Town of Oyster Bay in Nassau County.,"https://en.wikipedia.org/wiki/Woodbury,_Nassau_County,_New_York",web-research-2026-08-08,yes,1052,57804,nyboe
STATE CONSERVATIVE CAMPAIGN COMMITTEE,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,state,New York State,FALSE,high,This is the state campaign committee of the Conservative Party of New York State which cross-endorses Republicans such as Lee Zeldin and George Pataki so it folds to REP under the project fusion rule,https://www.cpnys.org/,web-research-2026-08-08,yes,485,57249,nyboe
PHARMACY PAC OF NEW YORK STATE,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,high,RxPAC is the NY BOE registered PAC of the Pharmacists Society of the State of New York a professional association that gives to statewide Senate and Assembly candidates of both parties,https://newyorkrxpac.org/campaign,web-research-2026-08-08,yes,544,56435,nyboe
EAST NORWICH MUTTONTOWN THE BROOKVILLES AND NORTH JERICHO REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,village,"East Norwich Muttontown Brookville and North Jericho in the Town of Oyster Bay, Nassau County, NY",FALSE,high,Name states it is the Republican Party committee for the East Norwich Muttontown Brookville and North Jericho communities in the Town of Oyster Bay,,web-research-2026-08-08,yes,501,55155,nyboe
WANTAGH GOP VICTORY COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Wantagh, Town of Hempstead, NY",FALSE,high,The name identifies it as a GOP committee for Wantagh which lies in the Town of Hempstead in Nassau County.,,web-research-2026-08-08,yes,646,53771,nyboe
PROGRESSIVE TAKEOVER,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,Progressive Takeover is FEC committee C00659599 founded in 2017 to elect left-wing Democrats and it is funded by small-dollar ActBlue donations,https://www.influencewatch.org/political-party/progressive-takeover/,web-research-2026-08-08,yes,1310,52649,fec
TEAM ELISE,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,United States,FALSE,medium,Campaign Legal Center identifies Team Elise as the joint fundraising committee of Republican Rep. Elise Stefanik of New York,https://campaignlegal.org/document/clc-alleges-elise-stefaniks-fundraising-committee-misreported-disbursements-winred,web-research-2026-08-08,yes,1676,52477,fec
COMMITTEE TO ELECT WEISENBERG,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Harvey Weisenberg was the Democratic member of the New York State Assembly for the 20th district covering Long Beach and Island Park from 1989 to 2014,https://en.wikipedia.org/wiki/Harvey_Weisenberg,web-research-2026-08-08,yes,545,51830,nyboe
FRIENDS OF CHRISTINE PELLEGRINO,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Christine Pellegrino is a Democrat who won the May 2017 special election for New York State Assembly District 9 and served until January 2019,https://en.wikipedia.org/wiki/Christine_Pellegrino,web-research-2026-08-08,yes,478,51487,nyboe
STOP REPUBLICANS,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,Stop Republicans is FEC committee C00633404 and operates as a sub-organization housed within the Democratic aligned Progressive Turnout Project in Chicago,https://nickgray.net/stop-republicans/,web-research-2026-08-08,yes,1690,47659,fec
